Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
وا قاسماه,سيد_حسين_المالكي,,1425 هـ,حسينية \nشبكة و منتديات المالكية
للناصر سلام,الشيخ_حسين_الأكرف,,1432 هـ,موكب عزاء الدراز - البحرين\n\nالهندسة الصوتية : محسن الدقاق
خلود البقاء,علي_حمادي,,1436 هـ,ماتم سار الكبير - قرية سار - البحرين\n\nالتسجيل الصوتي : حسن مرهون \nالهندسة الصوتية : محسن الدقاق \nحمادي ميديا
إلا علي,أحمد_قربان,ذكرى استشهاد أمير المؤمنين الامام علي (ع)\nليلة 22 رمضان 1438 هـ \nماتم الامام علي (ع) - أبوقوة - البحرين\n\nالهندسة الصوتية : حسن مرهون,1438 هـ,ماتم الامام علي (ع) - أبوقوة - البحرين\n\nالهندسة الصوتية : حسن مرهون
بيد عدوان,علي_حمادي,,1446 هـ,ماتم كرزكان للرجال - موكب عزاء كرزكان - قرية كرزكان - البحرين\n\nحمادي ميديا
على العهد,"إبراهيم_العوامي, كاظم_أبوزيد",ذكرى استشهاد الامام الحسن العسكري (ع)\nليلة 8 ربيع الأول - 1438 هـ\nموكب بقية الله - تاروت - السعودية\n\nالتسجيل الصوتي :  المرحوم جلال راشد\n الهندسة الصوتية :  المرحوم جلال راشد و علي مبارك,1438 هـ,موكب بقية الله - تاروت - السعودية\n\nالتسجيل الصوتي :  المرحوم جلال راشد\n الهندسة الصوتية :  المرحوم جلال راشد و علي مبارك
الفرض الأخير,"علي_كرانات, مهدي_الخاطر",ذكرى استشهاد فاطمة الزهراء (ع)\nليلة 13 جمادى الأول - 1438 هـ\nمسجد ابراهيم عرفات - ماتم شباب الحسين (ع) بالقديح - القطيف\n\nالتسجيل و الهندسة الصوتية :\n المرحوم جلال راشد,1438 هـ,مسجد ابراهيم عرفات - ماتم شباب الحسين (ع) بالقديح - القطيف\n\nالتسجيل و الهندسة الصوتية :\n المرحوم جلال راشد
ذكرى المعصومة,جعفر_الدرازي,ذكرى وفاة السيدة فاطمة المعصومة \nليلة 10 ربيع الثاني - 1441 هـ\nموكب عراد ماتم الحاج حسن العرادي - عراد  \n\nالتسجيل الصوتي: محمد البوري - يوسف زليخ \nالهندسة الصوتية : حسن مرهون,1441 هـ,موكب عراد ماتم الحاج حسن العرادي - عراد  \n\nالتسجيل الصوتي: محمد البوري - يوسف زليخ \nالهندسة الصوتية : حسن مرهون
تحدت كلماتي,الشيخ_حسين_الأكرف\nوفاة,وفاة السيدة زينب(ع) 1432 هـ - 2011 م\nموكب الدراز الموحد عصراً\n \nالهندسة الصوتية : محسن الدقاق\n\n(آخر مشاركة للشيخ حسين الأكرف في البحرين),1432 هـ,موكب الدراز الموحد عصراً\n \nالهندسة الصوتية : محسن الدقاق\n\n(آخر مشاركة للشيخ حسين الأكرف في البحرين)
زينب الكبرى,أحمد_قربان\n\nشهادة,,1439 هـ,موكب عزاء قرية بوري - البحرين\n\nالتسجيل و الهندسة الصوتية : محمد سلمان
وداع الصادق,"فوزي_الدرازي, صالح_الدرازي",استشهاد الامام جعفر الصادق (ع) \nليلة 26 شوال 1444 هـ \nماتم السنابس - قرية السنابس \n\nالهندسة الصوتية : علي النينون,1444 هـ,ماتم السنابس - قرية السنابس \n\nالهندسة الصوتية : علي النينون
بدر الزمان,أحمد_قربان,استشهاد الامام الحسن العسكري (ع) \nليلة 9 ربيع الأول 1438 هـ \nماتم السنابس الكبير - قرية السنابس \n\nالتسجيل الصوتي : \nعلي حيان - حسين طاهر - مهدي الغايب\nالهندسة الصوتية : علي المنصور \nشبكة جرح الحسين,1438 هـ,ماتم السنابس الكبير - قرية السنابس \n\nالتسجيل الصوتي : \nعلي حيان - حسين طاهر - مهدي الغايب\nالهندسة الصوتية : علي المنصور \nشبكة جرح الحسين
نلبيك بالأكفان,"يوسف_الرومي, سيد_ابراهيم_الستري",استشهاد الامام محمد الباقر (ع) حرم الحجاج\nليلة 8 ذو الحجة 1435 هـ 2014 م\nماتم حمد - واديان - سترة\n \nالهندسة الصوتية : علي مبارك\nتسجيلات دار الزهراء,1435 هـ,ماتم حمد - واديان - سترة\n \nالهندسة الصوتية : علي مبارك\nتسجيلات دار الزهراء
