Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
حب مولانا علي لو تعلمون,الشيخ_حسين_الأكرف\nاستشهاد,استشهاد الإمام علي(ع) 1423 هـ - 2002 م\nمأتم بن سلوم,1423 هـ,
حقوق الأنسان في كربلاء,الشيخ_حسين_الأكرف\nليلة,,1426 هـ,
,سيد_محمود_الموسوي,وفاة أم المؤمنين السيدة خديجة وذكرى وفاة مؤمن قريش ابو طالب 1445 هـ\nمسجد السيدة خديجة - مدينة الزهراء - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1445 هـ,مسجد السيدة خديجة - مدينة الزهراء - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
,مهدي_سهوان\nوفاة,وفاة أم المؤمنين السيدة خديجة وذكرى وفاة مؤمن قريش ابو طالب 1445 هـ\nموكب المالكية - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1445 هـ,موكب المالكية - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
حيدر الوطن الأكبر,الشيخ_حسين_الأكرف,ذكرى استشهاد الامام علي عليه السلام \nليلة 22 رمضان 1422 هـ\nبمشاركة مرتضى الحلواجي\nمأتم الإمام علي(ع) - أبو قوة,1422 هـ,
باجر يتاماك,صالح_الدرازي,ذكرى استشهاد الامام علي (ع) \nليلة 20 رمضان 1443 هـ\nهيئة و موكب قرية بوري  - بوري - البحرين\n \nالتسجيل و الهندسة الصوتية : علي مبارك,1443 هـ,موكب قرية بوري  - بوري - البحرين\n \nالتسجيل و الهندسة الصوتية : علي مبارك
صبر العقيلة,"كميل_عاشور, طاهر_الدرازي\nوبمشاركة, سيد_حسين_المالكي",ذكرى استشهاد السيدة زينب (ع) 1445 هـ\nموكب و ماتم  الامام علي (ع)  - أبو قوة\n\nالتسجيل الصوتي : أحمد فخر \nالهندسة الصوتية : علي مبارك,1445 هـ,موكب و ماتم  الامام علي (ع)  - أبو قوة\n\nالتسجيل الصوتي : أحمد فخر \nالهندسة الصوتية : علي مبارك
يا شعب حيدر,صالح_الدرازي,ذكرى استشهاد الامام علي(ع) رمضان 1422 هـ 2001 م\nالاعادة _ الكويت,1422 هـ,
يا شعب حيدر,"صالح_الدرازي, غازي_العابد\nذكرى",ذكرى استشهاد الامام علي عليه السلام \nليلة 20 من شهر رمضان 1422 هـ 2001 م\nموكب مأتم بن سلوم - المنامة,1422 هـ,موكب مأتم بن سلوم - المنامة
ذكرى اليتامى,صالح_الدرازي,ذكرى استشهاد الامام علي (ع)\nليلة 19 رمضان عام 1430 هـ\nموكب ماتم بن سلوم - العاصمة المنامة\n\nمركز العرفان للتسجيلات الاسلامية,1430 هـ,موكب ماتم بن سلوم - العاصمة المنامة\n\nمركز العرفان للتسجيلات الاسلامية
إشتياق,سيد_هاني_الوداعي,,1430 هـ,
ملك النفوس,"الشيخ_حسين_الأكرف, عبد_الأمير_البلادي\n#علي_حمادي, مهدي_سهوان, أباذر_الحلواجي, سيد_هاني_الوداعي",,1431 هـ,
عشاق جعفر,"محمد_غلوم, مصطفى_علي\nاستشهاد",استشهاد الامام جعفر الصادق (ع) 1444 هـ\nموكب حسينية الحاج أحمد بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1444 هـ,موكب حسينية الحاج أحمد بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
الثائرة,جعفر_الدرازي\n\nاستشهاد,استشهاد فاطمة الزهراء(ع) 1445 هـ\nالرواية الثالثة..\nماتم النعيم الغربي - النعيم - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسةالصوتية : محمد سلمان,1445 هـ,ماتم النعيم الغربي - النعيم - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسةالصوتية : محمد سلمان
دعاء الأنبياء,عبد_الأمير_البلادي\nمحرم,,1432 هـ,
بعلي يهتدون,الشيخ_حسين_الأكرف\n,استشهاد الامام علي (ع) - ليلة 19 رمضان 1429 هـ\nماتم السنابس الكبير\n\nالهندسة الصوتية: محسن الدقاق,1429 هـ,ماتم السنابس الكبير\n\nالهندسة الصوتية: محسن الدقاق
دمع وأنين,"عبد_الجبار_الدرازي\nبمشاركة, محمد_حسن\n\nوفاة",وفاة أم البنين سلام الله عليها 1430 هـ\nالموكب الزينبي بتاروت\nحسينية القلاف - جزيرة تاروت - القطيف,1430 هـ,موكب الزينبي بتاروت\nحسينية القلاف - جزيرة تاروت - القطيف
,,,,
حتى مطلع الفجر,الشيخ_حسين_الأكرف\nليلة,,1427 هـ,حسينية البلوش - الكويت\n\nالهندسة الصوتية: عبدالله مبارك
حملنا الرسالة الحسينية,الشيخ_حسين_الأكرف\nاستشهاد,استشهاد الإمام الكاظم(ع) 1439هـ\nحملة الديري - الكاظمية\nالشاعر : عبد الله القرمزي\n\nالهندسة الصوتية : محمود سعيد,1439هـ,حسينية ]\nالرادود : #الشيخ_حسين_الأكرف\nاستشهاد الإمام الكاظم(ع) 1439هـ\nحملة الديري - الكاظمية\nالشاعر : عبد الله القرمزي\n\nالهندسة الصوتية : محمود سعيد
حراس العقيدة,الشيخ_حسين_الأكرف\n\nكلمات,,1434 هـ,
حق العودة,الشيخ_حسين_الأكرف\nإصدار,,1429هـ,
حديث الضريح,الشيخ_حسين_الأكرف\nذكرى,,1431هـ,موكب بن سلوم المركزي - المنامة
جوهر الخلق,الشيخ_حسين_الأكرف,,1436 هـ,حسينية البلوش - الكويت\n\nالشريط بجودة السيدي
تسبيحة الزهراء,الشيخ_حسين_الأكرف\nذكرى,,1431 هـ,حسينية الفاطمية - العوامية
,,,,
جسر الأئمة,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد الإمام الكاظم(ع) 1426 هـ\nحسينية السبطين - الإحساء,1426 هـ,حسينية السبطين - الإحساء
صوت الألم,علي_حمادي\nاستشهاد,استشهاد الامام الكاظم (ع)  1435 هـ\nماتم البلاد القديم - البحرين\n\nالتسجيل الصوتي: حسن مرهون\nالهندسة الصوتية: محسن الدقاق,1435 هـ,ماتم البلاد القديم - البحرين\n\nالتسجيل الصوتي: حسن مرهون\nالهندسة الصوتية: محسن الدقاق
شهيد الحرية,علي_حمادي\nاستشهاد,استشهاد الامام الكاظم (ع)  1435 هـ\nموكب ماتم السنابس - البحرين\n\nالهندسة الصوتية: اللجنة الاعلامية للمأتم,1435 هـ,موكب ماتم السنابس - البحرين\n\nالهندسة الصوتية: اللجنة الاعلامية للمأتم
ويل لكل ظالم عنيد,علي_حمادي\nاستشهاد,استشهاد الامام الكاظم (ع)  1435 هـ\nموكب سترة - القرية - البحرين\n\nالهندسة الصوتية: محمود سعيد,1435 هـ,موكب سترة - القرية - البحرين\n\nالهندسة الصوتية: محمود سعيد
الصابرة الشاكية,"مهدي_سهوان, علي_حمادي",وفاة السيدة أم البنين (ع) - 1445 هـ\nماتم ال حسين - العكر\n\nالتسجيل الصوتي: حسين المقابي\nالهندسةالصوتية: محمد سلمان,1445 هـ,ماتم ال حسين - العكر\n\nالتسجيل الصوتي: حسين المقابي\nالهندسةالصوتية: محمد سلمان
دفن الكوثر,سيد_حسين_الموسوي\nاستشهاد,استشهاد فاطمة الزهراء (ع) - 1444 هـ\nماتم وليد الكعبة - موكب المحرق\n\nالتسجيل الصوتي: أحمد فخر\nالهندسةالصوتية: جرح الحسين,1444 هـ,ماتم وليد الكعبة - موكب المحرق\n\nالتسجيل الصوتي: أحمد فخر\nالهندسةالصوتية: جرح الحسين
زينب الصابرة 2,علي_حمادي\n#سيد_ابراهيم_الستري\n#يوسف_الرومي,استشهاد السيدة زينب (ع)  1435 هـ\nواديان - سترة - البحرين,1435 هـ,
صانعة النصر,علي_حمادي\nاستشهاد,استشهاد السيدة زينب (ع)  1436 هـ\nماتم الامام علي (ع) - أبو قوة - البحرين\n\nالهندسة الصوتية: محسن الدقاق,1436 هـ,ماتم الامام علي (ع) - أبو قوة - البحرين\n\nالهندسة الصوتية: محسن الدقاق
فاطمة البتول 11,"محمد_بومره, حسين_الحمد\n#مهدي_الخاطر\n#علي_غريب\nذكرى",ذكرى استشهاد فاطمة الزهراء (ع) ١٤٤٥ هـ - القطيف\nالهندسة الصوتية : حسين الدار,١٤٤٥ هـ,
حنين اليتيم,جعفر_الدرازي\n\nوفاة,وفاة السيدة رقية سلام الله عليها 1441 هـ\nحسينية أشبال الزهراء (ع) - راس رمان\n\nالهندسة الصوتية: حسن مرهون,1441 هـ,حسينية أشبال الزهراء (ع) - راس رمان\n\nالهندسة الصوتية: حسن مرهون
,علي_غريب\nليلة,وفاة السجاد 1433 هــ,1433 هـ,
ماتت يتيمة,رضي_العوى\nوفاة,وفاة السيدة المعصومة 1434 هـ \nموكب بقية الله الأعظم سيهات - القطيف,1434 هـ,موكب بقية الله الأعظم سيهات - القطيف
,عبدالحي_قمبر\nليلة,,1433 هـ,
تكبيرة العرش,الشيخ_حسين_الأكرف\nبمشاركة,,1421 هـ,
دم عاشوراء,الشيخ_حسين_الأكرف\nيوم,,1432 هـ,موكب الدراز الموحد عصراً
تحدت كلماتي,الشيخ_حسين_الأكرف\nوفاة,وفاة السيدة زينب(ع) 1432 هـ - 2011 م\nموكب الدراز الموحد عصراً\n\n\n(آخر مشاركة للشيخ حسين الأكرف في البحرين),1432 هـ,موكب الدراز الموحد عصراً\n\n\n(آخر مشاركة للشيخ حسين الأكرف في البحرين)
أم القمر,سيد_شرف_الستراوي,ذكرى وفاة السيدة أم البنين (ع) 1439 هـ\nمأتم بن عيد - سند - البحرين\n\nالهندسة الصوتية: حسن مرهون\nعدا الموشح من هندسة: جرح الحسين,1439 هـ,
قاضية الحاجات,يوسف_الرومي\nوفاة,وفاة السيدة أم البنين (ع ) 1436 هـ\nموكب سترة الخارجية - البحرين\n\nالهندسة الصوتية : علي مبارك,1436 هـ,موكب سترة الخارجية - البحرين\n\nالهندسة الصوتية : علي مبارك
الصامدة 5,"علي_حمادي, سيد_حسين_الموسوي\n#سيد_حسين_المالكي\n#فواز_عبد_النبي, يوسف_العشيري\n\nانتقل",وفاة السيدة أم البنين (ع) الى\n ذكرى وفاة السيدة زينب (ع) 1438 هـ\nموكب قرية سند - البحرين,1438 هـ,موكب قرية سند - البحرين
الصامدة 4,"حسن_نوروز, سيد_حسين_الموسوي\n#سيد_حسين_المالكي\n#سيد_حسن_البلادي, شاكر_الجنبي\n\n\nذكرى",ذكرى وفاة السيدة أم البنين (ع) 1437 هـ\nموكب قرية سند - البحرين,1437 هـ,موكب قرية سند - البحرين
الصامدة 3,"سيد_شرف_الستراوي, سيد_حسين_الموسوي\n#سيد_حسين_المالكي\n#سيد_توفيق_الوداعي\n\nذكرى",ذكرى وفاة السيدة أم البنين (ع) 1436 هـ\nموكب قرية سند - البحرين,1436 هـ,موكب قرية سند - البحرين
الصامدة 2,"سيد_شرف_الستراوي, سيد_حسين_الموسوي\n#سيد_حسين_المالكي\n#سيد_توفيق_الوداعي\n\nذكرى",ذكرى وفاة السيدة أم البنين (ع) 1435 هـ\nموكب قرية سند - البحرين,1435 هـ,موكب قرية سند - البحرين
الصامدة 1,أحمد_قربان\n#فواز_عبد_النبي\n#أحمد_الحلواجي\n#سيد_حسين_الموسوي\n#سيد_حسين_المالكي\n#سيد_توفيق_الوداعي\n\nذكرى,ذكرى وفاة السيدة أم البنين (ع) 1434 هـ\nموكب قرية سند - البحرين,1434 هـ,موكب قرية سند - البحرين
ما قالته الدموع,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع) 1430 هـ\nموكب المحرق الموحد\n\nالهندسة الصوتية: محسن الدقاق,1430 هـ,موكب المحرق الموحد\n\nالهندسة الصوتية: محسن الدقاق
الممتحنة 16,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي, كميل_عاشور",استشهاد فاطمة الزهراء (ع)  - 1445 هـ \nماتم سار الكبير\n\nالهندسة الصوتية: علي مبارك,1445 هـ,ماتم سار الكبير\n\nالهندسة الصوتية: علي مبارك
رحيل الوديعة,محمود_الشهابي,استشهاد فاطمة الزهراء (ع) - 1445 هـ\nموكب عزاء قرية الهملة - الهملة - ماتم الشباب\n\nالهندسة الصوتية: علي مبارك,1445 هـ,موكب عزاء قرية الهملة - الهملة - ماتم الشباب\n\nالهندسة الصوتية: علي مبارك
يا مدد الشهادة,"مهدي_سهوان, أباذر_الحلواجي",,1425 هـ,ماتم بن زبر - المنامة
شهيد السجون,صالح_الدرازي,استشهاد الإمام الكاظم (ع) - 1427 هـ\nموكب سترة - القرية,1427 هـ,موكب سترة - القرية
تذكر,الشيخ_حسين_الأكرف\n,,1428 هـ,
بين عباس و بيني,الشيخ_حسين_الأكرف\nشهر,,1439 هـ,
بلغنا الفتح,الشيخ_حسين_الأكرف\nليلة,,1433 هـ,حسينية الولاية - الكويت\n\nكلمات الموشح و القصيدة\nالشاعر : نادر التتان\n\nكلمات الموال و موال الخاتمة\nالشاعر : الملا عطية الجمري
بحق الحسن الزاكي,"أحمد_قربان, حسين_الجد\nاستشهاد",استشهاد الحسن الزكي (ع) - 1429 هـ\nالمالكية,1429 هـ,
سرى نعشها,"أحمد_قربان, حسن_قدسي\nليلة",,1430 هـ,
يامحمد ياصراط الإستقامة,"مهدي_سهوان, جعفر_سهوان\nليلة",استشهاد النبي (ص) - 1431 هـ\nكرانة,1431 هـ,
اودعتك الله,أحمد_قربان\nليلة,,1432 هـ,موكب الشهداء بالربيعية - القطيف
,"أحمد_قربان, مجتبى_تراب\nاستشهاد",استشهاد الامام الحسن (ع) - 1434 هـ\nموكب الشهداء بالربيعية - القطيف,1434 هـ,موكب الشهداء بالربيعية - القطيف
,كميل_عاشور\nاستشهاد,استشهاد الامام الجواد (ع) - 1432 هـ\nموكب الحوراء زينب - السنابس القطيف,1432 هـ,موكب الحوراء زينب - السنابس القطيف
هم فيه مختلفون,الشيخ_حسين_الأكرف\nليلة,,1427 هـ,
حزن الكاظم,سيد_حسين_المالكي\nاستشهاد,استشهاد الامام الكاظم (ع) - 1431 هـ\nموكب حجي عباس - المنامة,1431 هـ,موكب حجي عباس - المنامة
أم أبيها,صالح_الدرازي,,1424 هـ,ماتم الامام علي (ع) - أبوقوة - البحرين
أبو الغيرة,صالح_الدرازي,,1439 هـ,موكب عزاء قرية النعيم - البحرين\n\nالهندسة الصوتية : شريف المرهون
لك السلام,علي_حمادي,,1441 هـ,موكب الزنجيل - الحياك - المحرق
,مهدي_سهوان\n\nليلة,,1445 هـ,موكب ماتم بن سلوم المركزي
,سيد_شرف_الستراوي,,1438 هـ,موكب مسجد الزهراء (ع) - مدينة الزهراء\n\nالهندسة الصوتية : جرح الحسين
المقتل الأليم,"سيد_شرف_الستراوي, أحمد_الحلواجي\nليلة",,1440 هـ,موكب عزاء ماتم بن سلوم - المنامة - البحرين\n\nالهندسة الصوتية : جرح الحسين
شعوب الحسين,"مهدي_سهوان, سيد_هاني_الوداعي\nليلة",,1430 هـ,ماتم السنابس  - البحرين
بكاء السماء,الشيخ_حسين_الأكرف\nليلة,,1432 هـ,موكب بن سلوم المركزي - المنامة\n\nالهندسة الصوتية - محسن الدقاق
كونوا قرآنيون,علي_حمادي\nليلة,,1432 هـ,ماتم السنابس - البحرين
,يوسف_الرومي,,1438 هـ,موكب عزاء شباب السقية - البحرين\n\nالهندسة الصوتية : علي الحر
,"عبد_الأمير_البلادي, سيد_حسن_البلادي\nليلة",,1439 هـ,موكب عزاء ماتم بن سلوم - المنامة - البحرين\n\nالهندسة الصوتية : جرح الحسين
,حسن_نوروز\nليلة,,1439 هـ,موكب عزاء السقية الموحد - البحرين\n\nالهندسة الصوتية : جرح الحسين
وفاء زينب,سيد_هاني_الوداعي\nاستشهاد,استشهاد السيدة زينب (ع)\nليلة 16 رجب 1435 هـ\nماتم الامام علي (ع) - أبو قوة\n\n\nالتسجيل : محمد سلمان - جلال راشد\nالهندسة الصوتية : سيد حيدر,1435 هـ,ماتم الامام علي (ع) - أبو قوة\n\n\nالتسجيل : محمد سلمان - جلال راشد\nالهندسة الصوتية : سيد حيدر
,"يوسف_الرومي, سيد_ابراهيم_الستري\nيوم",,1441 هـ,موكب سترة واديان - البحرين\n\nالهندسة الصوتية : اللجنه الاعلامية
تربة الحسين,صالح_الدرازي,,1440 هـ,ماتم السنابس - البحرين\n\nالهندسة الصوتية : شريف المرهون
,صالح_الدرازي,,1439 هـ,ماتم السنابس - البحرين\n\nالهندسة الصوتية : شريف المرهون
,حسين_المحرقي\nليلة,,1441 هـ,موكب سترة واديان - البحرين\n\nالهندسة الصوتية : علي مبارك
سامح الله الجدار,"سيد_هاني_الوداعي, حسين_أحمد, صالح_الدرازي\n\nذكرى",,1428 هـ,ماتم الامام علي (ع)  - قرية ابو قوة - البحرين
عشاق المواكب,"صالح_الدرازي, علي_حمادي, جعفر_الدرازي, عباس_الغسرة\nمركزية",,1440 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء الدوار الرابع - البحرين\n\nالهندسة الصوتية : جرح الحسين
,صادق_العكراوي\nليلة,,1441 هـ,موكب سترة واديان - البحرين\n\nالهندسة الصوتية : علي مبارك
,يوسف_الرومي\nليلة,,1438 هـ,موكب سترة الخارجية - البحرين\n\nالهندسة الصوتية : علي الحر
ذبيح الله,"عبدالله_المطوع, علي_حمادي",,1437هـ,
أي جرح,الشيخ_حسين_الأكرف,,1426 هـ,
أولياء,الشيخ_حسين_الأكرف\nشهر,,1427 هـ,
نبكيك حسين,علي_حمادي\nذكرى,,1429 هـ,ماتم حمد - واديان - سترة
أجبر الخاطر,سيد_شرف_الستراوي\nاستشهاد,استشهاد الامام محمد الباقر (ع) - 1434 هـ\nهيئة وموكب عزاء قرية بوري - البحرين,1434 هـ,موكب عزاء قرية بوري - البحرين
يصعب اعليه الرحيل,علي_حمادي\nذكرى,,1430 هـ,مسجد مشرف - جدحفص\n\nالهندسة الصوتية : محسن الدقاق
بالأكفان لبيك,يوسف_الرومي\n\nذكرى,,1425 هـ,
الصابرة 11,صالح_الدرازي,وفاة السيدة ام البنين (ع)  - 1444 هـ \nحسينية الامام الباقر - هيئة موكب بوري\n\nالهندسة الصوتية : حسن مرهون,1444 هـ,حسينية الامام الباقر - هيئة موكب بوري\n\nالهندسة الصوتية : حسن مرهون
الصابرة 2,"أبو_سجاد_البوري\n#سيد_حسين_الموسوي, صالح_الشيخ, سيد_رياض_العلوي\n\nوفاة",وفاة ام البنين (ع)  - 1435 هـ \nحسينية الامام الباقر (ع) - هيئة موكب بوري,1435 هـ,حسينية الامام الباقر (ع) - هيئة موكب بوري
وما أدراك ما زينب,علي_حمادي\nاستشهاد,استشهاد السيدة زينب (ع)\nليلة 16 رجب 1431 هـ\nماتم الامام علي (ع) - أبو قوة\n\nهندسة صوتية مختلفة .. شبكة الحجة,1431 هـ,ماتم الامام علي (ع) - أبو قوة\n\nهندسة صوتية مختلفة .. شبكة الحجة
متى اللقاء ؟!,سيد_حسن_البلادي\nاستشهاد,استشهاد الامام محمد الجواد (ع) 1443 هـ\nموكب ماتم بن سلوم المركزي - العاصمة المنامة,1443 هـ,موكب ماتم بن سلوم المركزي - العاصمة المنامة
غاب باب المراد,"علي_حمادي, جعفر_سهوان\nاستشهاد",استشهاد الامام محمد الجواد (ع) 1437 هـ\nموكب حسينية الحاج أحمد بن خميس - السنابس - البحرين\n\nالهندسة الصوتية : محمد سلمان,1437 هـ,موكب حسينية الحاج أحمد بن خميس - السنابس - البحرين\n\nالهندسة الصوتية : محمد سلمان
ماء الحنين,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع) \nليلة 14 جمادى الأول 1429 هـ 2008 م\nمسجد الزهراء - مدينة حمد الدوار (4)\n\nالهندسة الصوتية : محسن الدقاق,1429 هـ,مسجد الزهراء - مدينة حمد الدوار (4)\n\nالهندسة الصوتية : محسن الدقاق
آية النور,أحمد_قربان\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع) - 1439 هـ\nمسجد فاطمة الزهراء (ع) -مدينة الزهراء الدوار الرابع - البحرين\n\nالهندسة الصوتية : جرح الحسين,1439 هـ,مسجد فاطمة الزهراء (ع) -مدينة الزهراء الدوار الرابع - البحرين\n\nالهندسة الصوتية : جرح الحسين
مع الأكبر,سيد_هاني_الوداعي\nليلة,,1440 هـ,موكب عزاء باربار - البحرين\n\nالهندسة الصوتية : جرح الحسين
إنها فاطمة,الشيخ_حسين_الأكرف\nذكرى,ذكرى وفاة السيدة فاطمة الزهراء (ع) 1428 هـ\nمأتم المؤمن - الدمام - السعودية\n\n\nالهندسة الصوتية : عبد الله مبارك\n\nملحوظة : في هذا الشريط الشيخ لم يكمل الشريط ( القى فقط فقرتين ) بسبب الحر الشديد و ضيق المكان و كثرة المعزين مما أدى إلى إعتذار الشيخ عن تكملة الشريط و تقبل المعزين الأمر ...,1428 هـ,
أول دمعة,الشيخ_حسين_الأكرف\nشهر,,1429 هـ,
بلقياك أغثنا,سيد_محمود_الموسوي\nاستشهاد,استشهاد الامام الحسن العسكري (ع) - 1438 هـ\nمسجد الشيخ ابراهيم العرفات - القديح \n\nالتسجيل و الهندسة الصوتية : علي مبارك و جلال راشد,1438 هـ,مسجد الشيخ ابراهيم العرفات - القديح \n\nالتسجيل و الهندسة الصوتية : علي مبارك و جلال راشد
وما أدراك ما زينب,علي_حمادي\nاستشهاد,استشهاد السيدة زينب (ع)\nليلة 16 رجب 1431 هـ\nماتم الامام علي (ع) - أبو قوة,1431 هـ,ماتم الامام علي (ع) - أبو قوة
وما أدراك ما زينب,علي_حمادي\nاستشهاد,استشهاد السيدة زينب (ع)\nليلة 15 رجب 1431 هـ\nماتم السنابس (موكب) - السنابس,1431 هـ,ماتم السنابس (موكب) - السنابس
يوم الحسين,علي_حمادي\nليلة,,1438 هـ,ماتم سار الكبير - سار\n\nالهندسة الصوتية : علي مبارك
عقيلة الكفاح,جعفر_الدرازي,وفاة السيدة زينب سلام الله عليها\nيوم 16 رجب 1421 هـ 2000 م\nحسينية الحاج احمد بن خميس - السنابس,1421 هـ,حسينية الحاج احمد بن خميس - السنابس
ردينا يا حسين,يوسف_الرومي\n\nليلة,,1426 هـ,موكب عزاء كرزكان
اودعتك الله,الشيخ_حسين_الأكرف\nماتم,,1432 هـ,ماتم الحاج حسن العالي - البحرين\nليلة ثاني من محرم - 1432 هـ\n\nالهندسة الصوتية : محسن الدقاق
خط الفقهاء,الشيخ_حسين_الأكرف\nذكرى,,1430 هـ,
يومئذ للحشر يبعثون,"صالح_الدرازي, سيد_حسين_المالكي\n\nيوم",,1430 هـ,موكب عزاء الدراز عصراً
حلم الأنبياء,صالح_الدرازي\n\nتأبين,,1429 هـ,
مداد السماء,يوسف_الرومي\n\nتأبين,,1438 هـ,ماتم القائم - اسكان عالي\n\nالهندسة الصوتية : علي مبارك
ندبة القلوب,سيد_شرف_الستراوي,استشهاد الامام العسكري (ع) - 1438 هـ\nموكب صدد المركزي (22)\n\nالهندسة الصوتية : محمود سعيد,1438 هـ,موكب صدد المركزي (22)\n\nالهندسة الصوتية : محمود سعيد
كهف المؤمنين,سيد_شرف_الستراوي,استشهاد الامام العسكري (ع) - 1441 هـ\nموكب صدد المركزي (25)\n\nالتسجيل: استوديو الترابي \nالهندسة الصوتية : جرح الحسين,1441 هـ,موكب صدد المركزي (25)\n\nالتسجيل: استوديو الترابي \nالهندسة الصوتية : جرح الحسين
أم فاطمة,سيد_حسين_المالكي\nوفاة,وفاة السيدة خديجة سلام الله عليها 1436 هـ\nمسجد السيدة خديجة ع\n\nالهندسة الصوتية : علي مبارك,1436 هـ,مسجد السيدة خديجة ع\n\nالهندسة الصوتية : علي مبارك
حركينا ثورة العاشر,حسين_عبد_الرسول\nليلة,,1437 هـ,
وعد الله,سيد_شرف_الستراوي,استشهاد الامام العسكري (ع) - 1440 هـ\nموكب صدد المركزي (24)\n\nالهندسة الصوتية : جرح الحسين,1440 هـ,موكب صدد المركزي (24)\n\nالهندسة الصوتية : جرح الحسين
سر الإنتصار,علي_حمادي\nذكرى,,1433 هـ,ماتم فاطمة الزهراء (ع) - المعامير
آخر الكلام,الشيخ_حسين_الأكرف\nليلة,,1436 هـ,حسينية البلوش - الكويت
أوراق العطش,الشيخ_حسين_الأكرف\nشهر,,1436 هـ,
أفجع مصاب,"صالح_الدرازي, جعفر_الدرازي\n\nليلة",,1436 هـ,حسينية البلوش - دولة الكويت
صور الذكرى,صالح_الدرازي,,1437 هـ,موكب عزاء النعيم - البحرين\n\nالهندسة الصوتية : شريف المرهون
روح أحمد,حسن_نوروز\nوفاه,,1437 هـ,مسجد السيدة خديجة \n\nالهندسة الصوتية : علي مبارك
,سيد_حسين_المالكي\nليلة,,1438 هـ,موكب ماتم بن سلوم - المنامة\n\nالهندسة الصوتية : علي مبارك
يا معز المؤمنين,سيد_هاني_الوداعي\nاستشهاد,استشهاد الامام الحسن الزكي - 1439 هـ\nموكب المالكية - البحرين\n\nالهندسة الصوتية : جرح الحسين,1439 هـ,موكب المالكية - البحرين\n\nالهندسة الصوتية : جرح الحسين
يا سامراء جئناك بالدمع الأحمر,علي_حمادي\nاستشهاد,استشهاد الامام محمد الجواد (ع) ليلة 29 ذو القعدة 1422 هـ\nموكب عزاء ماتم الحاج عباس - المنامة,1422 هـ,موكب عزاء ماتم الحاج عباس - المنامة
عمة يا زينب,"يوسف_الرومي, علي_حمادي\nليلة",,1425 هـ,موكب عزاء النعيم  - البحرين
أبا الفضل أسقنا قطرة,يوسف_الرومي\nليلة,,1427 هـ,موكب ماتم بن سلوم المركزي - المنامة
حبك في قلبي يا حيدر,علي_حمادي\nاستشهاد,استشهاد الامام علي (ع) ليلة 19 رمضان 1419 هـ,1419 هـ,
أنشودة الثأر,الشيخ_حسين_الأكرف\nليلة,,1434 هـ,حسينية البلوش - الكويت
جنة الحسين,صالح_الدرازي\nليلة,,1438 هـ,ماتم السنابس - البحرين\n\nالهندسة الصوتية : شريف المرهون
يومئذ تسألون,"مهدي_سهوان, علي_حمادي\nوفاة",وفاة أم البنين (ع) - 1430 هـ\nالعكر - البحرين,1430 هـ,
,أحمد_قربان\nليلة,,1441 هـ,ماتم السنابس - البحرين\n\nالهندسة الصوتية : جرح الحسين
,سيد_محمود_الموسوي\nاستشهاد,استشهاد الامام علي الهادي (ع) - 1444 هـ\nموكب ماتم بن سلوم المركزي - المنامة,1444 هـ,موكب ماتم بن سلوم المركزي - المنامة
دموع العين,سيد_شرف_الستراوي\nليلة,,1438 هـ,حسينية لأهالي عالي - ماتم الحاج حسن العالي
فتى الكرامة,سيد_حسين_الموسوي\nليلة,استشهاد الامام محمد الجواد (ع) - 1437 هـ\nماتم السنابس - البحرين,1437 هـ,ماتم السنابس - البحرين
أسرار حزينة,جعفر_الدرازي\nوفاة,وفاة السيدة المعصومة (ع) - 1438 هـ\nموكب السيدة المعصومة\nقاعة الدكتور الفضلي - حي الخصاب - سيهات\n\nالهندسة الصوتية : جلال راشد,1438 هـ,موكب السيدة المعصومة\nقاعة الدكتور الفضلي - حي الخصاب - سيهات\n\nالهندسة الصوتية : جلال راشد
الناهضون بالفداء,علي_حمادي\nليلة,,1434 هـ,ماتم السنابس - البحرين
مولاي يجعفر,حسين_عبد_الرسول\n#حسين_أحمد\n#أبراهيم_الموت\n\nاستشهاد,استشهاد الامام جعفر الصادق (ع) - 1444 هـ\nموكب ماتم بن سلوم المركزي - المنامة,1444 هـ,موكب ماتم بن سلوم المركزي - المنامة
